nom,code,codeDepartement,siren,codeEpci,codeRegion,codesPostaux,population
L'Abergement-Clémenciat,01001,01,210100012,200069193,84,['01400'],860.0
L'Abergement-de-Varey,01002,01,210100020,240100883,84,['01640'],270.0
Ambérieu-en-Bugey,01004,01,210100046,240100883,84,['01500'],15934.0
Ambérieux-en-Dombes,01005,01,210100053,200042497,84,['01330'],1906.0
Ambléon,01006,01,210100061,200040350,84,['01300'],115.0
Ambronay,01007,01,210100079,240100883,84,['01500'],2841.0
Ambutrix,01008,01,210100087,240100883,84,['01500'],760.0
Andert-et-Condon,01009,01,210100095,200040350,84,['01300'],348.0
Anglefort,01010,01,210100103,200070852,84,['01350'],1174.0
Apremont,01011,01,210100111,200042935,84,['01100'],415.0
Aranc,01012,01,210100129,200042935,84,['01110'],331.0
Arandas,01013,01,210100137,240100883,84,['01230'],138.0
Arbent,01014,01,210100145,200042935,84,['01100'],3555.0
Arboys en Bugey,01015,01,200053668,200040350,84,['01300'],710.0
Arbigny,01016,01,210100160,200071371,84,['01190'],462.0
Argis,01017,01,210100178,240100883,84,['01230'],419.0
Armix,01019,01,210100194,200040350,84,['01510'],25.0
Ars-sur-Formans,01021,01,210100210,200042497,84,['01480'],1528.0
Artemare,01022,01,210100228,200040350,84,['01510'],1139.0
Asnières-sur-Saône,01023,01,210100236,200071371,84,['01570'],78.0
Attignat,01024,01,210100244,200071751,84,['01340'],3409.0
Bâgé-Dommartin,01025,01,200077220,200071371,84,['01380'],4050.0
Bâgé-le-Châtel,01026,01,210100269,200071371,84,['01380'],971.0
Balan,01027,01,210100277,240100610,84,['01360'],3077.0
Baneins,01028,01,210100285,200069193,84,['01990'],621.0
Beaupont,01029,01,210100293,200071751,84,['01270'],734.0
Beauregard,01030,01,210100301,200042497,84,['01480'],872.0
Bellignat,01031,01,210100319,200042935,84,['01100'],3525.0
Béligneux,01032,01,210100327,240100610,84,['01360'],3535.0
Valserhône,01033,01,200083863,240100891,84,['01200'],16712.0
Belley,01034,01,210100343,200040350,84,['01300'],9388.0
Belleydoux,01035,01,210100350,200042935,84,['01130'],306.0
Valromey-sur-Séran,01036,01,200086411,200040350,84,['01260'],1351.0
Bénonces,01037,01,210100376,240100883,84,['01470'],311.0
Bény,01038,01,210100384,200071751,84,['01370'],777.0
Béréziat,01040,01,210100400,200071751,84,['01340'],475.0
Bettant,01041,01,210100418,240100883,84,['01500'],774.0
Bey,01042,01,210100426,200070555,84,['01290'],286.0
Beynost,01043,01,210100434,240100800,84,['01700'],5198.0
Billiat,01044,01,210100442,240100891,84,['01200'],713.0
Birieux,01045,01,210100459,200069193,84,['01330'],275.0
Biziat,01046,01,210100467,200070555,84,['01290'],889.0
Blyes,01047,01,210100475,240100883,84,['01150'],1401.0
La Boisse,01049,01,210100491,240100610,84,['01120'],3449.0
Boissey,01050,01,210100509,200071371,84,"['01190', '01380']",396.0
Bolozon,01051,01,210100517,200042935,84,['01450'],103.0
Bouligneux,01052,01,210100525,200069193,84,['01330'],318.0
Bourg-en-Bresse,01053,01,210100533,200071751,84,['01000'],42372.0
Bourg-Saint-Christophe,01054,01,210100541,240100883,84,['01800'],1562.0
Boyeux-Saint-Jérôme,01056,01,210100566,200029999,84,['01640'],367.0
Boz,01057,01,210100574,200071371,84,['01190'],513.0
Brégnier-Cordon,01058,01,210100582,200040350,84,['01300'],804.0
Brénod,01060,01,210100608,200042935,84,['01110'],576.0
Brens,01061,01,210100616,200040350,84,['01300'],1123.0
Bressolles,01062,01,210100624,240100610,84,['01360'],1028.0
Brion,01063,01,210100632,200042935,84,['01460'],592.0
Briord,01064,01,210100640,240100883,84,['01470'],1119.0
Buellas,01065,01,210100657,200071751,84,['01310'],1899.0
La Burbanche,01066,01,210100665,200040350,84,['01510'],98.0
Ceignes,01067,01,210100673,200042935,84,['01430'],257.0
Cerdon,01068,01,210100681,200029999,84,['01450'],747.0
Certines,01069,01,210100699,200071751,84,['01240'],1531.0
Cessy,01071,01,210100715,240100750,84,['01170'],5832.0
